campaign_id,campaign_name,treatment,segment,conversions,impressions,clicks,conversion_rate,cost_per_conversion
CAMP001,Summer Launch,Control,New Users,862,18795,2698,0.04586326150571961,6.789267873576293
CAMP002,Retention Boost,Variant A,Existing Users,43,9265,373,0.0046411225040474905,8.92940916619948
CAMP003,Awareness Blast,Variant B,High Value,163,14363,554,0.011348604052078257,2.451292632216802
CAMP004,Holiday Promo,Optimized,All Users,36,5433,237,0.006626173384870237,4.433937943676302
CAMP005,New Product Launch,Control,New Users,133,9396,715,0.014154959557258408,6.894823157779036
CAMP001,Summer Launch,Variant A,Existing Users,91,5747,388,0.015834348355663823,8.281407691144109
CAMP002,Retention Boost,Variant B,High Value,118,4899,425,0.024086548275158194,2.371603301759982
CAMP003,Awareness Blast,Optimized,All Users,175,6890,747,0.02539912917271408,2.1061196892789322
CAMP004,Holiday Promo,Control,New Users,587,11792,1716,0.04977951153324288,4.4369101533869655
CAMP005,New Product Launch,Variant A,Existing Users,48,5612,280,0.008553100498930863,7.466108150603666
CAMP001,Summer Launch,Variant B,High Value,174,18787,1585,0.009261723532229734,9.274563216630256
CAMP002,Retention Boost,Optimized,All Users,94,4585,486,0.02050163576881134,6.1605441694224865
CAMP003,Awareness Blast,Control,New Users,168,16417,1539,0.010233294755436438,8.738278196759989
CAMP004,Holiday Promo,Variant A,Existing Users,454,8675,1233,0.0523342939481268,6.783199830488681
CAMP005,New Product Launch,Variant B,High Value,72,14534,457,0.004953901197192789,2.3618183112843045
CAMP001,Summer Launch,Optimized,All Users,286,11529,1039,0.02480700841356579,9.722042458113105
CAMP002,Retention Boost,Control,New Users,120,9331,844,0.012860357946629514,8.417575846032317
CAMP003,Awareness Blast,Variant A,Existing Users,97,19448,428,0.004987659399424105,5.159052145404558
CAMP004,Holiday Promo,Variant B,High Value,40,5695,117,0.007023705004389816,7.654858750780937
CAMP005,New Product Launch,Optimized,All Users,587,16986,2084,0.03455787118803721,9.410407028106793
CAMP001,Summer Launch,Control,New Users,452,9184,1276,0.04921602787456446,5.595605393105627
CAMP002,Retention Boost,Variant A,Existing Users,174,5454,583,0.0319031903190319,6.730382301661817
CAMP003,Awareness Blast,Variant B,High Value,456,13965,1889,0.0326530612244898,2.9567539675064136
CAMP004,Holiday Promo,Optimized,All Users,691,16773,2186,0.04119716210576522,3.887879357991646
CAMP005,New Product Launch,Control,New Users,339,15685,1320,0.02161300605674211,5.420328146868397
CAMP001,Summer Launch,Variant A,Existing Users,626,18934,2583,0.033062216119150736,6.506204575811069
CAMP002,Retention Boost,Variant B,High Value,208,17820,933,0.011672278338945005,8.04440910834439
CAMP003,Awareness Blast,Optimized,All Users,161,4059,578,0.0396649421039665,7.5582794643176365
CAMP004,Holiday Promo,Control,New Users,263,13817,1397,0.019034522689440544,2.843954078642165
CAMP005,New Product Launch,Variant A,Existing Users,275,16931,749,0.016242395605693696,6.314737935325206
CAMP001,Summer Launch,Variant B,High Value,352,13230,1805,0.026606198034769463,2.880415396221414
CAMP002,Retention Boost,Optimized,All Users,112,4306,325,0.026010218300046448,8.885844666050748
CAMP003,Awareness Blast,Control,New Users,113,10526,435,0.01073532205966179,5.878639770871866
CAMP004,Holiday Promo,Variant A,Existing Users,404,16545,1057,0.024418253248715625,4.585623456166042
CAMP005,New Product Launch,Variant B,High Value,54,6304,457,0.008565989847715736,4.0313233114747575
CAMP001,Summer Launch,Optimized,All Users,238,14649,1649,0.01624684278790361,9.981923880391534
CAMP002,Retention Boost,Control,New Users,62,7737,568,0.008013441902546206,4.760569984213464
CAMP003,Awareness Blast,Variant A,Existing Users,162,16949,658,0.009558086022774205,9.885203632884807
CAMP004,Holiday Promo,Variant B,High Value,50,7931,241,0.0063043752364140716,3.937279506219407
CAMP005,New Product Launch,Optimized,All Users,145,7389,501,0.019623765056164567,7.068237686087158
CAMP001,Summer Launch,Control,New Users,210,4930,621,0.04259634888438134,3.2057403517234357
CAMP002,Retention Boost,Variant A,Existing Users,575,14589,1611,0.03941325656316403,4.607671241615078
CAMP003,Awareness Blast,Variant B,High Value,96,17243,382,0.0055674766571942235,3.8119662015835036
CAMP004,Holiday Promo,Optimized,All Users,73,5911,192,0.012349856200304517,5.180576168700179
CAMP005,New Product Launch,Control,New Users,210,5385,694,0.03899721448467967,7.881728953926177
CAMP001,Summer Launch,Variant A,Existing Users,878,17257,2419,0.050877904618415716,4.063533021721245
CAMP002,Retention Boost,Variant B,High Value,287,17075,729,0.016808199121522694,6.133087130168114
CAMP003,Awareness Blast,Optimized,All Users,106,16168,831,0.006556160316674914,9.177726063626615
CAMP004,Holiday Promo,Control,New Users,133,10158,650,0.013093128568615869,7.807645430961915
CAMP005,New Product Launch,Variant A,Existing Users,120,4154,545,0.02888781896966779,9.102160790087678
CAMP001,Summer Launch,Variant B,High Value,754,15874,2248,0.04749905505858637,7.351906037713829
CAMP002,Retention Boost,Optimized,All Users,485,18586,1271,0.02609491014742279,9.789310694042538
CAMP003,Awareness Blast,Control,New Users,64,5961,243,0.01073645361516524,7.535161581541546
CAMP004,Holiday Promo,Variant A,Existing Users,76,16992,728,0.004472693032015066,5.951149721467477
CAMP005,New Product Launch,Variant B,High Value,152,6987,472,0.0217546872763704,7.767519394017034
CAMP001,Summer Launch,Optimized,All Users,93,7735,726,0.01202327084680026,4.941726424475468
CAMP002,Retention Boost,Control,New Users,376,9893,956,0.038006671383806735,5.893937223675641
CAMP003,Awareness Blast,Variant A,Existing Users,306,8895,907,0.034401349072512646,6.021096744841537
CAMP004,Holiday Promo,Variant B,High Value,133,10022,842,0.013270804230692476,7.779616922092043
CAMP005,New Product Launch,Optimized,All Users,497,15946,1504,0.031167690956979806,2.34883017403547
CAMP001,Summer Launch,Control,New Users,281,13716,772,0.02048702245552639,7.981750191179311
CAMP002,Retention Boost,Variant A,Existing Users,130,4060,571,0.03201970443349754,9.733238552349356
CAMP003,Awareness Blast,Variant B,High Value,91,3699,484,0.024601243579345768,5.080781828815402
CAMP004,Holiday Promo,Optimized,All Users,122,9102,499,0.013403647549989014,4.981494936752394
CAMP005,New Product Launch,Control,New Users,60,3569,502,0.016811431773606052,3.6713497409228815
CAMP001,Summer Launch,Variant A,Existing Users,148,7014,1043,0.021100655831194755,6.146637218909894
CAMP002,Retention Boost,Variant B,High Value,96,4409,273,0.021773644817418916,3.0929706515362305
CAMP003,Awareness Blast,Optimized,All Users,194,15533,1036,0.012489538402111634,8.474889243828109
CAMP004,Holiday Promo,Control,New Users,135,8986,479,0.0150233696861785,2.652753443201923
CAMP005,New Product Launch,Variant A,Existing Users,559,15323,1896,0.03648110683286563,7.615735018061627
CAMP001,Summer Launch,Variant B,High Value,72,7495,199,0.009606404269513008,2.2209341749896376
CAMP002,Retention Boost,Optimized,All Users,374,16121,1241,0.023199553377582036,4.625221339797855
CAMP003,Awareness Blast,Control,New Users,1036,19958,2946,0.05190900891872933,8.883236946493401
CAMP004,Holiday Promo,Variant A,Existing Users,61,12907,323,0.0047261176105989,6.2966594175732435
CAMP005,New Product Launch,Variant B,High Value,424,18328,2339,0.023134002618943692,9.722014643126158
CAMP001,Summer Launch,Optimized,All Users,39,3876,175,0.010061919504643963,7.596097686137551
CAMP002,Retention Boost,Control,New Users,452,10079,1152,0.044845718821311636,6.1304027864095625
CAMP003,Awareness Blast,Variant A,Existing Users,144,11311,624,0.012730969852356113,2.6276510507381277
CAMP004,Holiday Promo,Variant B,High Value,78,11308,345,0.006897771489211178,7.507999206122931
CAMP005,New Product Launch,Optimized,All Users,131,4081,567,0.03209997549620191,3.918298873259226
CAMP001,Summer Launch,Control,New Users,276,8237,929,0.03350734490712638,4.239471175567543
CAMP002,Retention Boost,Variant A,Existing Users,164,6343,552,0.025855273529875454,5.485383189423128
CAMP003,Awareness Blast,Variant B,High Value,120,11130,581,0.01078167115902965,8.062768883714952
CAMP004,Holiday Promo,Optimized,All Users,36,12435,323,0.0028950542822677927,8.843684672088058
CAMP005,New Product Launch,Control,New Users,114,14151,462,0.008055967776128896,5.7877741662445255
CAMP001,Summer Launch,Variant A,Existing Users,152,7452,535,0.020397208803005905,7.08074920694115
CAMP002,Retention Boost,Variant B,High Value,32,5849,315,0.005471020687296974,9.467490464635864
CAMP003,Awareness Blast,Optimized,All Users,501,12823,1684,0.03907042033845434,3.3034754166514375
CAMP004,Holiday Promo,Control,New Users,456,8878,1267,0.05136291957648119,7.09122877956809
CAMP005,New Product Launch,Variant A,Existing Users,79,3851,365,0.020514152168267984,7.146305747538825
CAMP001,Summer Launch,Variant B,High Value,303,7000,878,0.04328571428571429,7.0075173608125825
CAMP002,Retention Boost,Optimized,All Users,144,8536,893,0.016869728209934397,4.19168901856907
CAMP003,Awareness Blast,Control,New Users,67,8726,602,0.007678203071281228,6.946031074703143
CAMP004,Holiday Promo,Variant A,Existing Users,423,19281,2094,0.02193869612571962,4.085556225887225
CAMP005,New Product Launch,Variant B,High Value,140,6267,689,0.022339237274613052,9.493185214845658
CAMP001,Summer Launch,Optimized,All Users,415,10543,1218,0.03936261026273357,4.256276580570452
CAMP002,Retention Boost,Control,New Users,297,14657,1100,0.02026335539332742,6.607396602064677
CAMP003,Awareness Blast,Variant A,Existing Users,115,8073,423,0.014245014245014245,8.936932857677776
CAMP004,Holiday Promo,Variant B,High Value,370,15043,1139,0.02459615768131357,8.036342992677458
CAMP005,New Product Launch,Optimized,All Users,369,16584,1483,0.022250361794500722,5.116944689753628
